iso_code,country,year,co2,co2_per_capita,trade_co2,cement_co2,cement_co2_per_capita,coal_co2,coal_co2_per_capita,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,oil_co2,oil_co2_per_capita,other_industry_co2,other_co2_per_capita,co2_growth_prct,co2_growth_abs,co2_per_gdp,co2_per_unit_energy,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,trade_co2_share,share_global_co2,share_global_cement_co2,share_global_coal_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,share_global_cumulative_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,total_ghg,ghg_per_capita,total_ghg_excluding_lucf,ghg_excluding_lucf_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp,rank
QAT,Qatar,2020,106.655,37.019,,2.305,0.8,,,1.154,0.401,90.164,31.295,13.032,4.523,,,-7.29,-8.382,,0.224,,,,2094.572,35.448,,168.549,1557.285,333.291,,,0.31,0.14,,0.27,1.22,0.12,,0.12,0.08,,0.95,0.64,0.06,,,,,,,,,,2881060,,475.503,165044.292,,1
NCL,New Caledonia,2020,8.693,30.448,,0.033,0.115,5.77,20.212,,,,,2.889,10.121,,,-0.16,-0.014,,,,,,157.007,1.651,59.383,,,95.973,,,0.02,0,0.04,,,0.03,,0.01,0,0.01,,,0.02,,,,,,,,,,285491,,,,,2
MNG,Mongolia,2020,88.442,26.978,,0.414,0.126,83.61,25.504,,,,,4.417,1.348,,,-0.28,-0.25,,,,,,787.437,5.734,667.326,,,114.377,,,0.25,0.03,0.6,,,0.04,,0.05,0.01,0.08,,,0.02,,,,,,,,,,3278292,,,,,3
TTO,Trinidad and Tobago,2020,35.509,25.373,,0.252,0.18,,,,,31.136,22.248,4.122,2.945,,,-12.06,-4.869,,0.205,,,,1569.561,12.727,,,1022.241,427.676,,,0.1,0.02,,,0.42,0.04,,0.09,0.03,,,0.42,0.07,,,,,,,,,,1399491,,173.257,123799.685,,4
BRN,Brunei,2020,10.158,23.22,,,,,,0.663,1.516,7.529,17.209,1.967,4.495,,,2.01,0.2,,,,,,360.375,,,87.257,183.75,89.365,,,0.03,,,0.15,0.1,0.02,,0.02,,,0.49,0.07,0.02,,,,,,,,,,437483,,,,,5
KWT,Kuwait,2020,88.935,20.825,,1.572,0.368,,,1.729,0.405,41.448,9.706,44.186,10.347,,,-7.98,-7.716,,0.212,,,,2877.516,31.674,,284.674,1010.768,1550.4,,,0.26,0.1,,0.4,0.56,0.4,,0.17,0.07,,1.6,0.41,0.26,,,,,,,,,,4270563,,418.605,98021.053,,6
BHR,Bahrain,2020,34.96,20.546,,0.524,0.308,,,,,30.83,18.118,3.606,2.119,,,1.51,0.521,,,,,,926.303,7.325,,,705.17,213.655,,,0.1,0.03,,,0.42,0.03,,0.05,0.02,,,0.29,0.04,,,,,,,,,,1701583,,,,,7
CUW,Curacao,2020,3.335,20.323,,,,,,,,0.116,0.71,3.219,19.614,,,-11.33,-0.426,,,,,,559.293,,,,1.032,558.261,,,0.01,,,,0,0.03,,0.03,,,,0,0.09,,,,,,,,,,164100,,,,,8
SAU,Saudi Arabia,2020,625.508,17.967,,25.593,0.735,,,0.095,0.003,257.22,7.388,342.599,9.841,,,0.5,3.095,,0.213,,,,15936.377,531.614,,902.889,4759.169,9742.704,,,1.8,1.57,,0.02,3.48,3.09,,0.94,1.23,,5.07,1.94,1.64,,,,,,,,,,34813867,,2933.478,84261.772,,9
KAZ,Kazakhstan,2020,291.336,15.516,,3.8,0.202,171.63,9.141,14.622,0.779,48.146,2.564,50.159,2.671,2.978,0.159,-1.53,-4.533,,0.338,,,,13908.24,120.587,9177.079,523.522,1202.322,2805.76,78.97,,0.84,0.23,1.23,3.36,0.65,0.45,1,0.82,0.28,1.16,2.94,0.49,0.47,0.84,,,,,,,,,18776707,,862.796,45950.324,,10
